target,complex_data_type,function_inlining,loop_unrolling,redundant_data_type,unnecessary_variable
clang-22382,0,0,0,-28,-25
clang-22704,-20,0,-3,-8,-5
clang-23309,5,-199,0,-27,-27
clang-23353,-11,0,0,-9,-8
clang-25900,0,-22,0,-13,-7
clang-26760,19,-4,16,0,0
clang-27137,0,-69,78,-8,-16
clang-27747,20,-6,0,-8,-16
clang-31259,1,-60,1393,-26,-4
gcc-59903,45,14,25,-3,-1
gcc-60116,12,-98,0,-36,-28
gcc-61383,0,-34,0,-16,-7
gcc-61917,11,-38,184,-16,2
gcc-64990,56,-24,114,-11,-29
gcc-65383,3,-40,0,-12,-5
gcc-66186,27,45,0,-16,-27
gcc-66375,-15,5,8,-30,-38
gcc-70127,-85,-75,-10,-21,0
gcc-70586,0,-34,18,-29,-15
gcc-71626,0,0,0,-4,0
