target,complex_data_type,function_inlining,loop_unrolling,redundant_data_type,unnecessary_variable
clang-22382,-25,0,0,-28,-19
clang-22704,-13,0,0,-8,-12
clang-23309,0,-325,0,-22,-7
clang-23353,5,-12,0,-12,-23
clang-25900,-4,-111,0,-20,-22
clang-26760,-18,-10,0,-12,-20
clang-27137,0,-85,0,-41,-5
clang-27747,-9,-6,0,-4,-10
clang-31259,4,-90,-50,-28,-25
gcc-59903,-4,0,0,-34,-4
gcc-60116,-47,-202,0,-27,-20
gcc-61383,0,-103,0,-20,-7
gcc-61917,-12,-50,2,-20,0
gcc-64990,0,-38,0,-24,-5
gcc-65383,-11,-56,0,-12,-11
gcc-66186,-13,-158,0,-11,-20
gcc-66375,-61,-266,-30,-15,-16
gcc-70127,0,-163,0,-8,-37
gcc-70586,5,-57,-6,-24,-24
gcc-71626,0,0,0,0,-8
