target,token num,time,query number,iteration,gpt time,gpt query
clang-22382,79,768,2358,4,551,20
clang-22704,45,466,856,3,354,15
clang-23309,464,735,4207,2,0,5
clang-23353,59,413,725,2,263,10
clang-25900,108,1242,4015,5,703,25
clang-26760,78,1685,3276,5,664,25
clang-27137,91,6172,5785,5,598,25
clang-27747,89,1036,3384,4,412,20
clang-31259,308,9943,10739,5,946,25
gcc-59903,270,2502,8548,5,854,25
gcc-60116,313,5095,12816,6,1117,30
gcc-61383,166,8949,6302,4,580,20
gcc-61917,71,753,2486,3,454,15
gcc-64990,159,1536,4508,4,732,20
gcc-65383,74,1260,1453,4,477,20
gcc-66186,223,3445,3416,2,408,10
gcc-66375,56,11222,13227,10,1494,50
gcc-70127,114,8628,5065,4,635,20
gcc-70586,49,4246,4295,5,649,25
gcc-71626,43,217,605,2,185,10
