target,token num,time,query number,iteration,gpt time,gpt query
rust-44800,136,7967,7306,3,4227,61
rust-66851,501,59954,22587,4,8767,107
rust-69039,108,544,625,2,440,19
rust-77002,119,4318,4919,2,3685,62
rust-77320,40,178,160,1,167,10
rust-77323,13,18,0,1,18,5
rust-77910,28,374,150,2,363,21
rust-77919,49,652,577,2,616,27
rust-78005,102,516,70,1,516,19
rust-78325,29,77,10,1,77,7
rust-78651,17,51,5,1,51,6
rust-78652,52,308,423,2,286,18
rust-78655,26,174,63,1,168,10
rust-78720,58,464,304,2,432,21
rust-91725,48,895,1154,3,662,28
rust-99830,255,17346,4970,4,7026,80
rust-111502,102,2887,2976,4,2561,69
rust-112061,330,35833,22147,6,4780,132
rust-112213,609,40307,28935,5,20332,187
rust-112526,290,6969,11415,3,3804,65
