target,token num,time,query number,iteration,gpt time,gpt query
clang-22382,97,646,2158,4,467,20
clang-22704,45,473,1216,3,337,15
clang-23309,125,6861,27761,10,1842,50
clang-23353,59,618,1122,3,360,15
clang-25900,108,893,4022,3,375,15
clang-26760,65,2431,4643,7,770,35
clang-27137,77,2586,2649,4,471,20
clang-27747,93,958,3248,3,332,15
clang-31259,406,8221,9821,4,389,17
gcc-59903,284,1539,5778,3,407,15
gcc-60116,396,1703,4723,2,337,10
gcc-61383,142,9801,6405,5,642,25
gcc-61917,78,1064,4189,5,583,25
gcc-64990,177,2034,6092,4,598,20
gcc-65383,59,1673,2198,4,367,20
gcc-66186,245,2829,3010,3,479,15
gcc-66375,102,10950,15399,10,1414,50
gcc-70127,100,10144,8048,5,698,25
gcc-70586,55,1961,3361,4,490,20
gcc-71626,43,172,380,2,152,10
