target,token num,time,query number,iteration,gpt time,gpt query
rust-44800,82,5494,6218,3,2687,50
rust-66851,582,88866,20148,3,7651,74
rust-69039,103,994,783,2,846,26
rust-77002,99,1843,3290,3,1317,39
rust-77320,40,122,20,1,122,9
rust-77323,13,16,0,1,16,5
rust-77910,28,293,104,2,282,20
rust-77919,75,230,382,1,201,11
rust-78005,102,568,65,1,568,18
rust-78325,29,22,0,1,22,5
rust-78651,16,120,76,2,114,14
rust-78652,52,215,214,2,201,17
rust-78655,26,132,20,1,132,9
rust-78720,57,1003,677,3,924,42
rust-91725,48,764,876,3,557,28
rust-99830,281,14604,4451,3,4186,55
rust-111502,98,2166,1860,5,1995,74
rust-112061,405,8304,6536,2,1861,43
rust-112213,657,22007,20742,3,4746,114
rust-112526,348,9376,11776,4,6296,91
